xintercept	clickSelects	group	xend	x
0.0454545454545455	1950	1	0.0454545454545455	0.0454545454545455
0.0909090909090909	1955	1	0.0909090909090909	0.0909090909090909
0.136363636363636	1960	1	0.136363636363636	0.136363636363636
0.181818181818182	1965	1	0.181818181818182	0.181818181818182
0.227272727272727	1970	1	0.227272727272727	0.227272727272727
0.272727272727273	1975	1	0.272727272727273	0.272727272727273
0.318181818181818	1980	1	0.318181818181818	0.318181818181818
0.363636363636364	1985	1	0.363636363636364	0.363636363636364
0.409090909090909	1990	1	0.409090909090909	0.409090909090909
0.454545454545455	1995	1	0.454545454545455	0.454545454545455
0.5	2000	1	0.5	0.5
0.545454545454545	2005	1	0.545454545454545	0.545454545454545
0.590909090909091	2010	1	0.590909090909091	0.590909090909091
0.636363636363636	2015	1	0.636363636363636	0.636363636363636
0.681818181818182	2020	1	0.681818181818182	0.681818181818182
0.727272727272727	2025	1	0.727272727272727	0.727272727272727
0.772727272727273	2030	1	0.772727272727273	0.772727272727273
0.818181818181818	2035	1	0.818181818181818	0.818181818181818
0.863636363636364	2040	1	0.863636363636364	0.863636363636364
0.909090909090909	2045	1	0.909090909090909	0.909090909090909
0.954545454545455	2050	1	0.954545454545455	0.954545454545455
