x	y	label	showSelected
0.506530269697342	0.0454545454545455	Dec 2000	2000.91530054645
0.506530269697342	0.0454545454545455	Nov 2000	2000.83333333333
0.506530269697342	0.0454545454545455	Oct 2000	2000.74863387978
0.506530269697342	0.0454545454545455	Sep 2000	2000.66666666667
0.506530269697342	0.0454545454545455	Aug 2000	2000.58196721311
0.506530269697342	0.0454545454545455	Jul 2000	2000.49726775956
0.506530269697342	0.0454545454545455	Jun 2000	2000.41530054645
0.506530269697342	0.0454545454545455	May 2000	2000.3306010929
0.506530269697342	0.0454545454545455	Apr 2000	2000.24863387978
0.506530269697342	0.0454545454545455	Mar 2000	2000.16393442623
0.506530269697342	0.0454545454545455	Feb 2000	2000.08469945355
0.506530269697342	0.0454545454545455	Jan 2000	2000
0.506530269697342	0.0454545454545455	Dec 1999	1999.91506849315
0.506530269697342	0.0454545454545455	Nov 1999	1999.83287671233
0.506530269697342	0.0454545454545455	Oct 1999	1999.74794520548
0.506530269697342	0.0454545454545455	Sep 1999	1999.66575342466
0.506530269697342	0.0454545454545455	Aug 1999	1999.58082191781
0.506530269697342	0.0454545454545455	Jul 1999	1999.49589041096
0.506530269697342	0.0454545454545455	Jun 1999	1999.41369863014
0.506530269697342	0.0454545454545455	May 1999	1999.32876712329
0.506530269697342	0.0454545454545455	Apr 1999	1999.24657534247
0.506530269697342	0.0454545454545455	Mar 1999	1999.16164383562
0.506530269697342	0.0454545454545455	Feb 1999	1999.08493150685
0.506530269697342	0.0454545454545455	Jan 1999	1999
0.506530269697342	0.0454545454545455	Dec 1998	1998.91506849315
0.506530269697342	0.0454545454545455	Nov 1998	1998.83287671233
0.506530269697342	0.0454545454545455	Oct 1998	1998.74794520548
0.506530269697342	0.0454545454545455	Sep 1998	1998.66575342466
0.506530269697342	0.0454545454545455	Aug 1998	1998.58082191781
0.506530269697342	0.0454545454545455	Jul 1998	1998.49589041096
0.506530269697342	0.0454545454545455	Jun 1998	1998.41369863014
0.506530269697342	0.0454545454545455	May 1998	1998.32876712329
0.506530269697342	0.0454545454545455	Apr 1998	1998.24657534247
0.506530269697342	0.0454545454545455	Mar 1998	1998.16164383562
0.506530269697342	0.0454545454545455	Feb 1998	1998.08493150685
0.506530269697342	0.0454545454545455	Jan 1998	1998
0.506530269697342	0.0454545454545455	Dec 1997	1997.91506849315
0.506530269697342	0.0454545454545455	Nov 1997	1997.83287671233
0.506530269697342	0.0454545454545455	Oct 1997	1997.74794520548
0.506530269697342	0.0454545454545455	Sep 1997	1997.66575342466
0.506530269697342	0.0454545454545455	Aug 1997	1997.58082191781
0.506530269697342	0.0454545454545455	Jul 1997	1997.49589041096
0.506530269697342	0.0454545454545455	Jun 1997	1997.41369863014
0.506530269697342	0.0454545454545455	May 1997	1997.32876712329
0.506530269697342	0.0454545454545455	Apr 1997	1997.24657534247
0.506530269697342	0.0454545454545455	Mar 1997	1997.16164383562
0.506530269697342	0.0454545454545455	Feb 1997	1997.08493150685
0.506530269697342	0.0454545454545455	Jan 1997	1997
0.506530269697342	0.0454545454545455	Dec 1996	1996.91530054645
0.506530269697342	0.0454545454545455	Nov 1996	1996.83333333333
0.506530269697342	0.0454545454545455	Oct 1996	1996.74863387978
0.506530269697342	0.0454545454545455	Sep 1996	1996.66666666667
0.506530269697342	0.0454545454545455	Aug 1996	1996.58196721311
0.506530269697342	0.0454545454545455	Jul 1996	1996.49726775956
0.506530269697342	0.0454545454545455	Jun 1996	1996.41530054645
0.506530269697342	0.0454545454545455	May 1996	1996.3306010929
0.506530269697342	0.0454545454545455	Apr 1996	1996.24863387978
0.506530269697342	0.0454545454545455	Mar 1996	1996.16393442623
0.506530269697342	0.0454545454545455	Feb 1996	1996.08469945355
0.506530269697342	0.0454545454545455	Jan 1996	1996
0.506530269697342	0.0454545454545455	Dec 1995	1995.91506849315
0.506530269697342	0.0454545454545455	Nov 1995	1995.83287671233
0.506530269697342	0.0454545454545455	Oct 1995	1995.74794520548
0.506530269697342	0.0454545454545455	Sep 1995	1995.66575342466
0.506530269697342	0.0454545454545455	Aug 1995	1995.58082191781
0.506530269697342	0.0454545454545455	Jul 1995	1995.49589041096
0.506530269697342	0.0454545454545455	Jun 1995	1995.41369863014
0.506530269697342	0.0454545454545455	May 1995	1995.32876712329
0.506530269697342	0.0454545454545455	Apr 1995	1995.24657534247
0.506530269697342	0.0454545454545455	Mar 1995	1995.16164383562
0.506530269697342	0.0454545454545455	Feb 1995	1995.08493150685
0.506530269697342	0.0454545454545455	Jan 1995	1995
